# SkyForge DO-178C 合规矩阵 (Compliance Matrix)
# 文档标识: CM-SKYFORGE-V1.0
# DO-178C 章节: §6.4 (Verification of Verification Results) + 附录 A
# DO-330 章节: §11 (Tool Accomplishment Summary)
# 日期: 2026-07-17
# 状态: V3.3-Enhanced 工程辅助证据草案；不代表适航批准
#
# 列说明:
#   OBJ_ID              - 目标编号 (OBJ-1 ~ OBJ-19)
#   Objective_Name      - 目标名称
#   DO_178C_Table       - 对应 DO-178C Table A-X
#   DAL_A               - DAL-A 适用性 (R=必须+独立, R*=必须无独立, N/A=不适用, O=可选)
#   DAL_B               - DAL-B 适用性
#   DAL_C               - DAL-C 适用性
#   DAL_D               - DAL-D 适用性
#   DAL_E               - DAL-E 适用性
#   Status              - 当前状态 (满足/部分满足/未满足/不适用)
#   Implementation      - 实现模块
#   Evidence            - 证据文档
#   Completion_Date     - 完成日期
#   Notes               - 备注
#
OBJ_ID,Objective_Name,DO_178C_Table,DAL_A,DAL_B,DAL_C,DAL_D,DAL_E,Status,Implementation,Evidence,Completion_Date,Notes
OBJ-11,编译验证,A-5.3,R+,R+,R+,R,N/A,部分满足,GCC -std=c11 -O2 + virtual_mcu.py,SDP.md §3.2,2026-07-12,USE_REAL_GCC=true 时严格失败；mock 仿真不构成编译验证通过
OBJ-12,契约违约处理,(自定义),R,R,R,R,N/A,部分满足,contract_checker.py + simulation_engine.py 断言,—,2026-07-14,需聚合 A-3.1 契约校验与仿真断言；no_breach 不可覆盖已检测违约
OBJ-13,语句覆盖率,A-7.5,R+,R+,R+,O,N/A,未满足,coverage_analyzer.py (V3.3-Enhanced),SVP.md §3.4,2026-07-17,当前真实覆盖率未达 100%；静态分析/0% 不构成达标
OBJ-14,判定覆盖率,A-7.7,R+,R+,O,O,N/A,未满足,coverage_analyzer.py (V3.3-Enhanced),SVP.md §3.4,2026-07-17,必须由真实 gcov/lcov 达到目标；静态估算/故障注入修正不构成达标
OBJ-15,MC/DC 覆盖率,A-7.8,R+,O,O,O,N/A,未满足,mcdc_calculator.py (V3.3-Enhanced),SVP.md §3.4,2026-07-17,必须由真实 GCC 14.2+ lcov 2.0+ 证据达到目标
OBJ-16,HLR/LLR 追溯,A-2.1,R,R,R,R,N/A,满足,traceability_matrix.py,PSAC.md 附录 A,2026-07-15,HLR↔LLR↔Code↔Test 双向追溯矩阵
OBJ-17,独立验证,A-9.2,R+,R+,O,O,N/A,部分满足,独立工具(Cppcheck/GCC/Z3)+HIL人工审批,evidence_collector.py record_independent_review(),2026-07-18,仅非作者工具审查+真实独立人类审查可计入；system/超时不计入
OBJ-18,正式 PR 系统,A-8.2,R,R,R,R,N/A,部分满足,pr_manager.py + GitHub Pull Request,SCMP.md §4,2026-07-16,必须使用隔离分支与真实 PR/review；main 直合不计入
OBJ-19,工具鉴定,§12.2,R,R,R,R,N/A,部分满足,TQP.md + TOR.md + TAS.md 三件套 + tool_chain_validator.py,TQP.md §5,2026-07-17,DO-330 TQL-1 鉴定资料为工程草案，缺外部正式鉴定
OBJ-20,数据耦合分析,A-7.9,R,R,R,R,N/A,满足,coupling_analyzer.py,SVP.md §3.5,2026-07-21,DO-178C §6.4.4.2.d 全局变量读写+参数传递+共享数据异常检测
OBJ-21,控制耦合分析,A-7.10,R,R,R,R,N/A,满足,coupling_analyzer.py,SVP.md §3.5,2026-07-21,DO-178C §6.4.4.2.e 函数调用图+调用顺序+入口点+孤立函数检测

# ===== 汇总统计 =====
# 汇总统计
#
# DAL 等级 | 总目标数 | 满足 | 部分满足 | 不适用 | 完成率
# ---------|---------|------|---------|--------|------
# DAL-A    |    21   |  16  |    4    |   0    | 1 未满足；需真实 GCC/覆盖率/HITL/PR 证据闭环
# DAL-B    |    19   | 部分满足 | 需真实判定覆盖、编译、HITL/PR 证据 |   2    | 工程辅助，非认证结论
# DAL-C    |    17   | 部分满足 | 需真实语句覆盖、编译、PR 证据 |   4    | 工程辅助，非认证结论
# DAL-D    |    13   | 部分满足 | 需项目级审查与配置证据 |   8    | 工程辅助，非认证结论
# DAL-E    |     0   |   0  |    0    |  21    | N/A (无安全影响,无需验证)
#
# V0.5.0 更新: 新增 OBJ-20 (数据耦合) 和 OBJ-21 (控制耦合)，目标总数从 19 增至 21
# ===== 验证证据索引 =====
#
# 计划文档 (8 份):
#   - PSAC.md: 软件审定计划 (DO-178C §4.1)
#   - SDP.md: 软件开发计划 (DO-178C §4.2)
#   - SVP.md: 软件验证计划 (DO-178C §4.3)
#   - SCMP.md: 软件配置管理计划 (DO-178C §4.4)
#   - SQAP.md: 软件质量保证计划 (DO-178C §4.5)
#   - TQP.md: 工具鉴定计划 (DO-178C §12.2 / DO-330)
#   - TOR.md: 工具操作需求 (DO-330 §5)
#   - TAS.md: 工具鉴定总结 (DO-330 §11)
#
# 实现模块 (按 OBJ 分组):
#   OBJ-1,16: src/skyforge_engine/report/traceability_matrix.py
#   OBJ-2,12: src/skyforge_engine/tools/contract_checker.py + contract_formal_verifier.py
#   OBJ-3,4: src/skyforge_engine/tools/cppcheck_scanner.py + misra_fixes.py
#   OBJ-5,6: src/skyforge_engine/digital_twin/simulation_engine.py + fault_injector.py
#   OBJ-7,10,17: studio/app/core/hil/hil_manager.py + .github/workflows/ci.yml
#   OBJ-8,9,18: src/skyforge_engine/tools/pr_manager.py + Git/GitHub
#   OBJ-11: src/skyforge_engine/digital_twin/virtual_mcu.py
#   OBJ-13,14: src/skyforge_engine/report/coverage_analyzer.py
#   OBJ-15: src/skyforge_engine/dal/mcdc_calculator.py
#   OBJ-19: docs/compliance/{TQP,TOR,TAS}.md + src/skyforge_engine/tools/tool_chain_validator.py
#
# 测试覆盖:
#   后端单元测试: 204 用例 (13 文件) - studio/app/tests/
#   前端单元测试: 116 用例 (8 文件) - studio/frontend/src/**/*.test.ts
#   集成测试: E2E Pipeline 测试 + HIL 集成测试
#   工具链验证: tool_chain_validator.py (7 项自动化检查)
#
# ===== 标准引用 =====
#
# DO-178C/ED-12C (2011) - 机载软件适航审定核心标准
# DO-330/ED-215 (2011) - 软件工具鉴定考量
# MISRA-C:2012 - C 语言安全编程规范 (143 条规则)
# T/CECC 44—2025 - 机载软件适航要求符合性规范
# HB 8658-2022 - 民用飞机机载系统和设备软件设计要求
